date,sentiment,Adj Close,Week_Number,month,year
2017-12-06,1,62.652000427246094,49,12,2017
2017-12-11,0,65.78199768066406,50,12,2017
2017-12-13,1,67.80599975585938,50,12,2017
2017-12-14,2,67.5780029296875,50,12,2017
2017-12-18,1,67.77400207519531,51,12,2017
2017-12-19,3,66.22000122070312,51,12,2017
2017-12-22,2,65.04000091552734,51,12,2017
2017-12-26,1,63.45800018310547,52,12,2017
2017-12-27,1,62.327999114990234,52,12,2017
2017-12-28,0,63.071998596191406,52,12,2017
2017-12-29,-1,62.27000045776367,52,12,2017
2018-01-02,0,64.10600280761719,1,1,2018
2018-01-03,2,63.45000076293945,1,1,2018
2018-01-04,1,62.92399978637695,1,1,2018
2018-01-05,1,63.316001892089844,1,1,2018
2018-01-08,0,67.28199768066406,2,1,2018
2018-01-09,6,66.73799896240234,2,1,2018
2018-01-10,1,66.95999908447266,2,1,2018
2018-01-16,0,68.01200103759766,3,1,2018
2018-01-17,1,69.43199920654297,3,1,2018
2018-01-18,0,68.91400146484375,3,1,2018
2018-01-19,1,70.00399780273438,3,1,2018
2018-01-22,2,70.31199645996094,4,1,2018
2018-01-24,0,69.1780014038086,4,1,2018
2018-01-29,1,69.90599822998047,5,1,2018
2018-01-30,2,69.16400146484375,5,1,2018
2018-01-31,1,70.86199951171875,5,1,2018
2018-02-01,1,69.8499984741211,5,2,2018
2018-02-02,1,68.75,5,2,2018
2018-02-05,3,66.6259994506836,6,2,2018
2018-02-06,2,66.79399871826172,6,2,2018
2018-02-07,-1,69.0,6,2,2018
2018-02-08,0,63.04600143432617,6,2,2018
2018-02-09,0,62.08399963378906,6,2,2018
2018-02-12,0,63.145999908447266,7,2,2018
2018-02-13,0,64.73200225830078,7,2,2018
2018-02-20,1,66.9540023803711,8,2,2018
2018-02-22,-1,69.23400115966797,8,2,2018
2018-02-23,1,70.41000366210938,8,2,2018
2018-02-26,1,71.48400115966797,9,2,2018
2018-02-27,-1,70.197998046875,9,2,2018
2018-02-28,2,68.61199951171875,9,2,2018
2018-03-01,3,66.18599700927734,9,3,2018
2018-03-02,1,67.02400207519531,9,3,2018
2018-03-06,1,65.63999938964844,10,3,2018
2018-03-07,-1,66.45999908447266,10,3,2018
2018-03-09,1,65.43399810791016,10,3,2018
2018-03-12,0,69.10199737548828,11,3,2018
2018-03-13,2,68.36799621582031,11,3,2018
2018-03-14,2,65.32599639892578,11,3,2018
2018-03-15,2,65.12000274658203,11,3,2018
2018-03-16,0,64.2699966430664,11,3,2018
2018-03-19,0,62.71200180053711,12,3,2018
2018-03-20,0,62.11000061035156,12,3,2018
2018-03-22,0,61.81999969482422,12,3,2018
2018-03-23,1,60.30799865722656,12,3,2018
2018-03-26,0,60.83599853515625,13,3,2018
2018-03-27,0,55.83599853515625,13,3,2018
2018-03-28,-1,51.555999755859375,13,3,2018
2018-04-02,-1,50.49599838256836,14,4,2018
2018-04-03,1,53.50600051879883,14,4,2018
2018-04-06,1,59.86000061035156,14,4,2018
2018-04-09,2,57.93199920654297,15,4,2018
2018-04-10,0,60.939998626708984,15,4,2018
2018-04-11,0,60.18600082397461,15,4,2018
2018-04-13,0,60.06800079345703,15,4,2018
2018-04-16,1,58.242000579833984,16,4,2018
2018-04-17,1,57.53799819946289,16,4,2018
2018-04-18,1,58.66999816894531,16,4,2018
2018-04-19,0,60.01599884033203,16,4,2018
2018-04-20,0,58.04800033569336,16,4,2018
2018-04-24,1,56.69200134277344,17,4,2018
2018-04-26,1,57.09600067138672,17,4,2018
2018-04-27,1,58.816001892089844,17,4,2018
2018-04-30,-1,58.779998779296875,18,4,2018
2018-05-02,0,60.22999954223633,18,5,2018
2018-05-03,0,56.88999938964844,18,5,2018
2018-05-04,3,58.81800079345703,18,5,2018
2018-05-07,0,60.55400085449219,19,5,2018
2018-05-08,-1,60.39400100708008,19,5,2018
2018-05-09,0,61.369998931884766,19,5,2018
2018-05-10,1,61.00400161743164,19,5,2018
2018-05-11,2,60.21200180053711,19,5,2018
2018-05-14,0,58.39400100708008,20,5,2018
2018-05-15,1,56.83599853515625,20,5,2018
2018-05-16,1,57.29600143432617,20,5,2018
2018-05-17,-1,56.90800094604492,20,5,2018
2018-05-21,1,56.89799880981445,21,5,2018
2018-05-22,1,55.00199890136719,21,5,2018
2018-05-23,-2,55.81399917602539,21,5,2018
2018-05-25,0,55.77000045776367,21,5,2018
2018-05-29,0,56.75199890136719,22,5,2018
2018-05-30,1,58.34400177001953,22,5,2018
2018-06-01,0,58.36399841308594,22,6,2018
2018-06-04,0,59.347999572753906,23,6,2018
2018-06-05,1,58.22600173950195,23,6,2018
2018-06-06,3,63.900001525878906,23,6,2018
2018-06-07,0,63.21799850463867,23,6,2018
2018-06-08,4,63.53200149536133,23,6,2018
2018-06-11,0,66.41999816894531,24,6,2018
2018-06-12,0,68.55400085449219,24,6,2018
2018-06-13,1,68.95600128173828,24,6,2018
2018-06-14,1,71.54399871826172,24,6,2018
2018-06-15,-1,71.63400268554688,24,6,2018
2018-06-18,0,74.16600036621094,25,6,2018
2018-06-19,1,70.51000213623047,25,6,2018
2018-06-20,-1,72.44400024414062,25,6,2018
2018-06-21,1,69.50199890136719,25,6,2018
2018-06-22,2,66.72599792480469,25,6,2018
2018-06-25,0,66.60199737548828,26,6,2018
2018-06-26,1,68.4000015258789,26,6,2018
2018-06-27,1,68.9000015258789,26,6,2018
2018-06-28,-1,69.98600006103516,26,6,2018
